id,zipcode,name,country_id/id,state_id/id
1761_Borchtlombeek,1761,Borchtlombeek,base.be,l10n_be.state_be_vbr
2140_Borgerhout,2140,Borgerhout,base.be,l10n_be.state_be_van
3840_Borgloon,3840,Borgloon,base.be,l10n_be.state_be_vli
4317_Borlez,4317,Borlez,base.be,l10n_be.state_be_wlg
3891_Borlo,3891,Borlo,base.be,l10n_be.state_be_vli
6941_Borlon,6941,Borlon,base.be,l10n_be.state_be_wlx
2880_Bornem,2880,Bornem,base.be,l10n_be.state_be_van
1404_Bornival,1404,Bornival,base.be,l10n_be.state_be_wbr
2150_Borsbeek,2150,Borsbeek,base.be,l10n_be.state_be_van
9552_Borsbeke,9552,Borsbeke,base.be,l10n_be.state_be_vov
5032_Bossiere,5032,Bossière,base.be,l10n_be.state_be_wna
8583_Bossuit,8583,Bossuit,base.be,l10n_be.state_be_vwv
1390_BossutGottechain,1390,Bossut-Gottechain,base.be,l10n_be.state_be_wbr
3300_Bost,3300,Bost,base.be,l10n_be.state_be_vbr
5032_Bothey,5032,Bothey,base.be,l10n_be.state_be_wna
9820_Bottelare,9820,Bottelare,base.be,l10n_be.state_be_vov
6200_Bouffioulx,6200,Bouffioulx,base.be,l10n_be.state_be_wht
5004_Bouge,5004,Bouge,base.be,l10n_be.state_be_wna
7040_Bougnies,7040,Bougnies,base.be,l10n_be.state_be_wht
6830_Bouillon,6830,Bouillon,base.be,l10n_be.state_be_wlx
6464_Bourlers,6464,Bourlers,base.be,l10n_be.state_be_wht
5575_BourseigneNeuve,5575,Bourseigne-Neuve,base.be,l10n_be.state_be_wna
5575_BourseigneVieille,5575,Bourseigne-Vieille,base.be,l10n_be.state_be_wna
7110_Boussoit,7110,Boussoit,base.be,l10n_be.state_be_wht
7300_Boussu,7300,Boussu,base.be,l10n_be.state_be_wht
5660_BoussuEnFagne,5660,Boussu-En-Fagne,base.be,l10n_be.state_be_wna
6440_BoussuLezWalcourt,6440,Boussu-Lez-Walcourt,base.be,l10n_be.state_be_wht
1470_Bousval,1470,Bousval,base.be,l10n_be.state_be_wbr
3370_Boutersem,3370,Boutersem,base.be,l10n_be.state_be_vbr
5500_BouvignesSurMeuse,5500,Bouvignes-Sur-Meuse,base.be,l10n_be.state_be_wna
7803_Bouvignies,7803,Bouvignies,base.be,l10n_be.state_be_wht
2288_Bouwel,2288,Bouwel,base.be,l10n_be.state_be_van
8680_Bovekerke,8680,Bovekerke,base.be,l10n_be.state_be_vwv
3870_Bovelingen,3870,Bovelingen,base.be,l10n_be.state_be_vli
4300_Bovenistier,4300,Bovenistier,base.be,l10n_be.state_be_wlg
5081_Bovesse,5081,Bovesse,base.be,l10n_be.state_be_wna
6671_Bovigny,6671,Bovigny,base.be,l10n_be.state_be_wlx
4990_Bra,4990,Bra,base.be,l10n_be.state_be_wlg
7604_Braffe,7604,Braffe,base.be,l10n_be.state_be_wht
5590_Braibant,5590,Braibant,base.be,l10n_be.state_be_wna
1420_BraineLAlleud,1420,Braine-L'Alleud,base.be,l10n_be.state_be_wbr
1440_BraineLeChateau,1440,Braine-Le-Château,base.be,l10n_be.state_be_wbr
7090_BraineLeComte,7090,Braine-Le-Comte,base.be,l10n_be.state_be_wht
4260_Braives,4260,Braives,base.be,l10n_be.state_be_wlg
9660_Brakel,9660,Brakel,base.be,l10n_be.state_be_vov
5310_Branchon,5310,Branchon,base.be,l10n_be.state_be_wna
6800_Bras,6800,Bras,base.be,l10n_be.state_be_wlx
7604_Brasmenil,7604,Brasménil,base.be,l10n_be.state_be_wht
2930_Brasschaat,2930,Brasschaat,base.be,l10n_be.state_be_van
7130_Bray,7130,Bray,base.be,l10n_be.state_be_wht
2960_Brecht,2960,Brecht,base.be,l10n_be.state_be_van
8450_Bredene,8450,Bredene,base.be,l10n_be.state_be_vwv
3960_Bree,3960,Bree,base.be,l10n_be.state_be_vli
2870_Breendonk,2870,Breendonk,base.be,l10n_be.state_be_van
4020_Bressoux,4020,Bressoux,base.be,l10n_be.state_be_wlg
8900_Brielen,8900,Brielen,base.be,l10n_be.state_be_vwv
2520_Broechem,2520,Broechem,base.be,l10n_be.state_be_van
3840_Broekom,3840,Broekom,base.be,l10n_be.state_be_vli
1931_Brucargo,1931,Brucargo,base.be,
7940_Brugelette,7940,Brugelette,base.be,l10n_be.state_be_wht
8000_Brugge,8000,Brugge,base.be,l10n_be.state_be_vwv
5660_Bruly,5660,Brûly,base.be,l10n_be.state_be_wna
5660_BrulyDePesche,5660,Brûly-De-Pesche,base.be,l10n_be.state_be_wna
7620_Brunehaut,7620,Brunehaut,base.be,l10n_be.state_be_wht
1785_Brussegem,1785,Brussegem,base.be,l10n_be.state_be_vbr
1000_Brussel,1000,Brussel,base.be,state_be_bru
1099_BrusselX,1099,Brussel X,base.be,
3800_Brustem,3800,Brustem,base.be,l10n_be.state_be_vli
7641_Bruyelle,7641,Bruyelle,base.be,l10n_be.state_be_wht
6222_Brye,6222,Brye,base.be,l10n_be.state_be_wht
